"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","828","Register button disabled until all mandatory fields are filled","chromium","Sat Sep 06 23:17:19 AKDT 2025","passed","Sat Sep 06 23:17:20 AKDT 2025","Registration tests","","",""
"","9527","Brute force protection (multiple failed attempts)","chromium","Sat Sep 06 23:16:49 AKDT 2025","passed","Sat Sep 06 23:16:58 AKDT 2025","Login tests","","",""
"","14906","Get car Details","chromium","Sat Sep 06 23:16:53 AKDT 2025","passed","Sat Sep 06 23:17:08 AKDT 2025","API tests","","",""
"","13445","Update Password functionality correctly functions","chromium","Sat Sep 06 23:16:44 AKDT 2025","passed","Sat Sep 06 23:16:57 AKDT 2025","Profile tests","","",""
"","17852","capture vote request","chromium","Sat Sep 06 23:16:14 AKDT 2025","passed","Sat Sep 06 23:16:31 AKDT 2025","","","",""
"","3784","Register with existing username","chromium","Sat Sep 06 23:17:01 AKDT 2025","passed","Sat Sep 06 23:17:05 AKDT 2025","Registration tests","","",""
"","13543","Votes persist correct timestamp","chromium","Sat Sep 06 23:16:46 AKDT 2025","passed","Sat Sep 06 23:17:00 AKDT 2025","Database tests","","",""
"","2704","Empty credentials prevent login","chromium","Sat Sep 06 23:16:33 AKDT 2025","passed","Sat Sep 06 23:16:36 AKDT 2025","Login tests","","",""
"","28695","Concurrent Voting(Vote count incrementation)","chromium","Sat Sep 06 23:17:43 AKDT 2025","passed","Sat Sep 06 23:18:11 AKDT 2025","Voting tests","","",""
"","12254","Vote functionality without login","chromium","Sat Sep 06 23:17:13 AKDT 2025","passed","Sat Sep 06 23:17:25 AKDT 2025","Voting tests","","",""
"","1299","Long input / boundary condition","chromium","Sat Sep 06 23:16:31 AKDT 2025","passed","Sat Sep 06 23:16:32 AKDT 2025","Database tests","","",""
"","3148","Register with max length password","chromium","Sat Sep 06 23:17:14 AKDT 2025","passed","Sat Sep 06 23:17:17 AKDT 2025","Registration tests","","",""
"","4630","Registration fails when password missing required character types","chromium","Sat Sep 06 23:17:09 AKDT 2025","passed","Sat Sep 06 23:17:14 AKDT 2025","Registration tests","","",""
"","10918","Login with valid user","chromium","Sat Sep 06 23:16:14 AKDT 2025","passed","Sat Sep 06 23:16:25 AKDT 2025","API tests","","",""
"","11870","Update First Name persists after refresh","chromium","Sat Sep 06 23:16:32 AKDT 2025","passed","Sat Sep 06 23:16:44 AKDT 2025","Profile tests","","",""
